,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Herbert Jones,36:54,6,11,.545,4,5,.800,0,0,,0,3,3,2,1,1,3,3,16,+10
Brandon Ingram,32:17,7,11,.636,1,3,.333,4,5,.800,0,4,4,7,2,0,3,3,19,+13
CJ McCollum,29:40,8,16,.500,4,6,.667,4,4,1.000,0,3,3,5,0,1,2,2,24,+12
Zion Williamson,28:37,11,15,.733,0,0,,5,6,.833,1,3,4,6,1,1,2,3,27,+20
Jonas Valančiūnas,20:22,2,5,.400,0,2,.000,0,0,,1,6,7,3,0,0,1,5,4,+14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jose Alvarado,27:03,3,8,.375,2,6,.333,0,0,,1,2,3,3,0,1,1,3,8,+2
Dyson Daniels,23:31,2,3,.667,1,1,1.000,2,2,1.000,2,3,5,1,1,0,0,0,7,-1
Larry Nance Jr.,22:26,4,6,.667,0,0,,0,0,,3,6,9,2,1,1,0,1,8,-2
Naji Marshall,14:08,1,4,.250,0,2,.000,0,0,,0,2,2,0,1,0,0,4,2,-10
Jordan Hawkins,2:52,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-1
Cody Zeller,2:10,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-2
Kira Lewis Jr.,Did Not Play
Jeremiah Robinson-Earl,Did Not Play
Team Totals,240,45,81,.556,12,26,.462,15,17,.882,9,32,41,30,7,5,12,24,117,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Herbert Jones,9:33,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,5,+4
Brandon Ingram,9:55,3,4,.750,0,1,.000,0,0,,0,0,0,2,0,0,0,0,6,+3
CJ McCollum,7:10,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,1,1,2,+3
Zion Williamson,7:54,3,3,1.000,0,0,,3,4,.750,0,2,2,1,0,0,1,1,9,+6
Jonas Valančiūnas,8:43,0,1,.000,0,1,.000,0,0,,0,4,4,2,0,0,0,1,0,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
