,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zach LaVine,18:35,5,12,.417,0,2,.000,1,2,.500,1,2,3,3,0,1,1,1,11,+4
Nikola Vučević,18:35,5,10,.500,1,1,1.000,0,0,,5,4,9,0,0,0,0,1,11,+5
Coby White,19:35,3,10,.300,0,3,.000,2,2,1.000,1,1,2,1,0,0,0,0,8,0
DeMar DeRozan,17:27,3,10,.300,0,2,.000,4,4,1.000,1,0,1,2,0,0,0,0,10,0
Torrey Craig,9:48,0,2,.000,0,1,.000,0,0,,0,3,3,3,1,0,0,1,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alex Caruso,15:40,1,1,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,0,2,3,-2
Patrick Williams,8:45,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,1,0,4,0
Jevon Carter,6:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-7
Andre Drummond,5:29,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2,-5
Julian Phillips,Did Not Play
Terry Taylor,Did Not Play
Dalen Terry,Did Not Play
Team Totals,120,20,49,.408,2,11,.182,7,8,.875,8,15,23,10,1,1,3,6,49,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Zach LaVine,38:26,.527,.500,.286,.190,3.1,18.3,10.8,20.5,1.3,2.4,8.1,29.4,110,114,1.1
Nikola Vučević,35:43,.500,.500,.077,.000,20.2,22.9,21.6,11.5,0.0,0.0,0.0,16.6,130,118,-0.2
Coby White,35:25,.503,.471,.471,.118,3.4,6.6,5.0,8.1,0.0,2.7,10.1,25.6,100,120,-4.7
DeMar DeRozan,33:28,.551,.500,.200,.200,3.6,0.0,1.8,19.1,0.0,0.0,0.0,29.7,125,123,2.5
Torrey Craig,23:10,.375,.375,.500,.000,0.0,30.3,15.3,20.2,2.2,0.0,20.0,9.9,95,111,-1.4
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Alex Caruso,26:17,.750,.750,1.000,.000,0.0,8.9,4.5,8.9,0.0,3.6,0.0,3.5,169,118,-3.1
Patrick Williams,20:53,.833,.833,.500,.000,0.0,28.0,14.2,6.8,0.0,4.5,25.0,17.5,117,113,3.4
Jevon Carter,14:15,.833,.833,.667,.000,0.0,8.2,4.2,0.0,3.6,0.0,40.0,16.0,85,113,-6.3
Andre Drummond,12:20,.735,1.000,.000,1.333,0.0,38.0,19.2,0.0,4.1,0.0,17.4,21.3,106,105,1.8
Julian Phillips,Did Not Play
Terry Taylor,Did Not Play
Dalen Terry,Did Not Play
Team Totals,240,.562,.545,.315,.157,22.5,80.5,51.9,48.8,4.2,7.8,9.5,100.0,113.4,115.5,
